headline,guardian_keywords,esg_category
"Indoor carbon dioxide levels could be a health hazard, scientists warn ","['air pollution', 'greenhouse gas emissions', 'climate change', 'environment']",environmental
Electricity pricing is bloody confusing. That's why they're using it to mislead us | Greg Jericho ,"['climate change', 'environment', 'renewable energy']",environmental
Mass migration is no ‘crisis’: it’s the new normal as the climate changes | Ellie Mae O’Hagan ,"['climate change', 'climate change']",environmental
Climate breakdown is coming. The UK needs a Greener New Deal | Jason Hickel ,"['climate change', 'plastics', 'environment']",environmental
"Climate change already forcing world's birds towards poles, says report ","['climate change', 'environment']",environmental
Hamburg becomes first German city to ban older diesel cars ,"['air pollution', 'environment']",environmental
How the fossil fuel industry's new pitch is more like an epitaph than a life lesson  ,"['environment', 'climate change', 'climate change']",environmental
UN agency meets to tackle pollution and emissions by ships ,"['environment', 'pollution', 'greenhouse gas emissions', 'climate change', 'plastics']",environmental
"Eating fish oil could tackle damage caused by air pollution, research shows ","['pollution', 'environment', 'air pollution']",environmental
"Fossil fuel subsidies tempt us to burn more carbon, says World Bank chief #keepitintheground ","['climate change', 'environment', 'greenhouse gas emissions']",environmental
"UK beach litter rises by a third, report finds ","['waste', 'environment']",environmental
NASA climate study warns of unprecedented North American drought ,"['climate change', 'climate change']",environmental
It’s beginning to look a lot like Christmas | Brief letters ,"['climate change', 'environment']",environmental
How San Francisco is leading the way out of bottled water culture ,"['plastics', 'waste', 'environment', 'pollution']",environmental
'New deal' risks fuelling emissions and eroding building standards ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Scotland to monitor pollution from Iceland's volcanoes ,"['pollution', 'environment']",environmental
British Gas and VW unveil three-year electric vehicle deal ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Anti-smog bikes: could pedal power clean China's polluted air? ,"['pollution', 'environment', 'air pollution']",environmental
Push for bathing water quality hailed as 'game changer' for UK rivers ,"['environment', 'pollution']",environmental
Police in south India accused of mass murder after shooting dead protesters ,"['pollution', 'environment']",environmental
Jerry Brown: Trump's 'gross ignorance' main obstacle in climate change fight ,"['climate change', 'environment']",environmental
EU's soaring climate rhetoric not always matched by action ,"['environment', 'climate change', 'climate change']",environmental
BBC apologises over interview with climate sceptic Lord Lawson ,"['climate change', 'climate change', 'environment']",environmental
Paris agreement: Europe vows to keep fighting global warming after US withdrawal ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
"Crop losses to pests will soar as climate warms, study warns ","['climate change', 'environment']",environmental
Victoria's Secret under fire after store dumps hundreds of bras in bin ,"['waste', 'environment']",environmental
Half of UK women flush tampons away – this has to stop | Kate Blincoe ,"['plastics', 'environment']",environmental
Military experts say climate change poses 'significant risk' to security ,"['climate change', 'environment']",environmental
"'Catastrophic': UK has lost 90% of seagrass meadows, study finds ","['environment', 'climate change']",environmental
Human activity 'driving half of world's crocodile species to extinction' ,"['environment', 'pollution']",environmental
Guardian to be first national newspaper with biodegradable wrapping ,"['plastics', 'environment', 'recycling', 'waste']",environmental
Royal Court and Globe join UK arts climate protest ,"['climate change', 'environment']",environmental
The Guardian view on snow and ice: it’s too cold here but too warm in the Arctic | Editorial ,"['climate change', 'environment', 'greenhouse gas emissions']",environmental
Overwhelmed by climate change? Here's what you can do ,"['climate change', 'environment', 'recycling', 'waste']",environmental
US and China release fossil fuel subsidy peer reviews ,"['environment', 'climate change']",environmental
"'Life will go on': battered by bushfire, East Gippsland starts to pick up the pieces ","['climate change', 'environment']",environmental
Lagarde: ECB should do more to tackle climate emergency ,"['climate change', 'environment']",environmental
EU says 1.5C global warming target depends on ‘negative emissions’ technology ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
UK legal claims grow over exposure at work to toxic diesel fumes ,"['pollution', 'environment']",environmental
Thousands of social tenants will lose out if solar subsidies cuts go ahead ,"['renewable energy', 'environment']",environmental
Would it be possible to enact a law against vehicles idling to cut air pollution? ,['air pollution'],environmental
'We can't see a future': group takes EU to court over climate change ,"['greenhouse gas emissions', 'environment', 'climate change']",environmental
China encourages environmental groups to sue polluters ,"['pollution', 'environment']",environmental
Environment minister rejects Queensland wind farm project to save old-growth forest ,"['environment', 'renewable energy']",environmental
"Boris Johnson doesn’t get climate change, says sacked COP 26 chair ","['climate change', 'environment']",environmental
Major acid leak creates vapour cloud over Hull ,"['pollution', 'environment']",environmental
Jonathan Franzen:  Climate campaigns killing the birds? ,"['climate change', 'environment']",environmental
A 'black and smelly' job: the search for China's most polluted rivers ,"['environment', 'pollution']",environmental
Hotting up: how climate change could swallow Louisiana's Tabasco island ,"['climate change', 'environment']",environmental
"Global emissions nearly stall after a decade of rapid growth, report shows ","['greenhouse gas emissions', 'environment', 'climate change']",environmental
Donald Trump tells Prince Charles US is 'clean' on climate change ,"['climate change', 'environment']",environmental
How Guardian editors are making the climate emergency a focus ,"['environment', 'climate change', 'climate change']",environmental
"UK ‘woefully unprepared’ for deadly heatwaves, warn MPs ","['climate change', 'environment']",environmental
Australia launches emergency relocation of fish as largest river system faces collapse ,"['climate change', 'environment']",environmental
UK children inhaling toxic air on school run and in classroom ,"['air pollution', 'pollution', 'environment']",environmental
The secret life of an engineer: Blights on the landscape make my eyes light up | Anonymous ,['climate change'],environmental
Dutch companies set up giant bread bins to help cities tackle rat scourge – via @GuardianSustBiz ,"['environment', 'waste']",environmental
Oktoberfest 'produces 10 times as much methane as the city of Boston' ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
Earth Day: Greta Thunberg calls for 'new path' after pandemic ,"['climate change', 'environment', 'climate change']",environmental
Anti-pollution activists stage protest at Volkswagen's UK headquarters ,"['air pollution', 'environment', 'greenhouse gas emissions']",environmental
VW diesel emissions investigation widened to include other brands ,"['greenhouse gas emissions', 'environment']",environmental
Canada: Trudeau on back foot as frustration builds over PM's climate strategy ,"['climate change', 'greenhouse gas emissions', 'environment']",environmental
How can Peru prevent more devastating floods and landslides? – via @GuardianGDP ,"['climate change', 'environment']",environmental
Ban Ki-moon: US has caused serious damage to Paris climate efforts ,"['greenhouse gas emissions', 'climate change', 'environment']",environmental
